Rdzenie procesora,Przyspieszenie
1198,9.9254350,
1199,9.9254967,
1200,9.9255583,
1201,9.9256198,
1202,9.9256813,
1203,9.9257426,
1204,9.9258038,
1205,9.9258649,
1206,9.9259259,
1207,9.9259868,
1208,9.9260477,
1209,9.9261084,
1210,9.9261690,
1211,9.9262295,
1212,9.9262899,
1213,9.9263502,
1214,9.9264105,
1215,9.9264706,
1216,9.9265306,
1217,9.9265905,
1218,9.9266504,
1219,9.9267101,
1220,9.9267697,
1221,9.9268293,
1222,9.9268887,
1223,9.9269481,
1224,9.9270073,
1225,9.9270665,
1226,9.9271255,
1227,9.9271845,
1228,9.9272433,
1229,9.9273021,
1230,9.9273608,
1231,9.9274194,
1232,9.9274778,
1233,9.9275362,
1234,9.9275945,
1235,9.9276527,
1236,9.9277108,
1237,9.9277689,
1238,9.9278268,
1239,9.9278846,
1240,9.9279424,
1241,9.9280000,
1242,9.9280576,
1243,9.9281150,
1244,9.9281724,
1245,9.9282297,
1246,9.9282869,
1247,9.9283439,
1248,9.9284010,
1249,9.9284579,
1250,9.9285147,
1251,9.9285714,
1252,9.9286281,
1253,9.9286846,
1254,9.9287411,
1255,9.9287975,
1256,9.9288538,
1257,9.9289100,
1258,9.9289661,
1259,9.9290221,
1260,9.9290780,
1261,9.9291339,
1262,9.9291896,
1263,9.9292453,
1264,9.9293009,
1265,9.9293564,
1266,9.9294118,
1267,9.9294671,
1268,9.9295223,
1269,9.9295775,
1270,9.9296325,
1271,9.9296875,
1272,9.9297424,
1273,9.9297972,
1274,9.9298519,
1275,9.9299065,
1276,9.9299611,
1277,9.9300156,
1278,9.9300699,
1279,9.9301242,
1280,9.9301784,
1281,9.9302326,
1282,9.9302866,
1283,9.9303406,
1284,9.9303944,
1285,9.9304482,
1286,9.9305019,
1287,9.9305556,
1288,9.9306091,
1289,9.9306626,
1290,9.9307159,
1291,9.9307692,
1292,9.9308224,
1293,9.9308756,
1294,9.9309286,
1295,9.9309816,
1296,9.9310345,
1297,9.9310873,
1298,9.9311400,
1299,9.9311927,
1300,9.9312452,
1301,9.9312977,
1302,9.9313501,
1303,9.9314024,
1304,9.9314547,
1305,9.9315068,
1306,9.9315589,
1307,9.9316109,
1308,9.9316629,
1309,9.9317147,
1310,9.9317665,
1311,9.9318182,
1312,9.9318698,
1313,9.9319213,
1314,9.9319728,
1315,9.9320242,
1316,9.9320755,
1317,9.9321267,
1318,9.9321778,
1319,9.9322289,
1320,9.9322799,
1321,9.9323308,
1322,9.9323817,
1323,9.9324324,
1324,9.9324831,
1325,9.9325337,
1326,9.9325843,
1327,9.9326347,
1328,9.9326851,
1329,9.9327354,
1330,9.9327857,
1331,9.9328358,
1332,9.9328859,
1333,9.9329359,
1334,9.9329859,
1335,9.9330357,
1336,9.9330855,
1337,9.9331352,
1338,9.9331849,
1339,9.9332344,
1340,9.9332839,
1341,9.9333333,
1342,9.9333827,
1343,9.9334320,
1344,9.9334812,
1345,9.9335303,
1346,9.9335793,
1347,9.9336283,
1348,9.9336772,
1349,9.9337261,
1350,9.9337748,
1351,9.9338235,
1352,9.9338722,
1353,9.9339207,
1354,9.9339692,
1355,9.9340176,
1356,9.9340659,
